rowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,63197226,Jones,747,Spain,Male,50,3,144015.61,1,1,0,83512.69,0
2,98496222,Moore,772,Germany,Female,47,2,26035.99,2,0,0,23215.95,1
3,83252408,Davis,394,Spain,Male,27,7,103986.79,1,1,0,75593.36,1
4,83104818,Johnson,650,Italy,Female,20,4,68759.16,3,1,1,43626.64,1
5,31092624,Martin,701,France,Female,28,5,235868.08,4,1,0,65916.5,0
6,61651534,Anderson,481,Spain,Male,40,7,140186.89,4,0,1,140559.85,1
7,47535654,Martinez,450,Spain,Male,33,1,71196.89,3,1,0,132005.92,0
8,35928192,Wilson,838,Spain,Male,67,4,96204.22,4,0,0,115416.87,0
9,32848042,Garcia,346,Germany,Female,68,6,81842.19,4,1,1,59234.42,0
10,63858589,Jones,663,Germany,Male,41,5,174381.06,1,1,1,135346.04,0
11,60651783,Wilson,550,Spain,Male,57,7,204528.96,2,0,0,126131.93,1
12,71247412,Smith,392,Italy,Female,56,3,144783.9,1,1,1,99255.97,0
13,86939777,Taylor,767,Germany,Male,57,1,168097.73,3,1,1,110514.22,1
14,67374302,Davis,583,France,Male,33,1,234263.41,4,0,0,38983.85,0
15,45644273,Martin,300,Germany,Male,33,5,35433.31,3,1,1,84386.57,0
16,90173892,Moore,802,Spain,Male,48,10,248543.86,3,0,1,79412.28,1
17,56802497,Brown,788,Germany,Male,46,9,141448.78,1,0,0,111367.75,0
18,31918106,Davis,826,Netherlands,Female,58,7,31224.04,3,0,0,29706.07,0
19,66981529,Williams,746,Germany,Female,30,0,67805.22,4,0,0,83591.85,0
20,24348158,Williams,522,Spain,Female,31,7,186635.35,2,1,0,48421.23,0
21,83920141,Martinez,364,Spain,Male,44,3,35656.1,3,0,1,34142.13,0
22,84624778,Martin,644,Italy,Male,31,0,54997.23,1,0,1,125179.14,0
23,58962028,Hernandez,739,Netherlands,Female,57,3,5027.04,1,0,0,108415.98,1
24,26593592,Brown,547,France,Male,69,3,56415.48,3,1,1,33184.49,0
25,95838574,Wilson,835,Germany,Female,69,4,116965.32,2,0,1,61800.55,0
26,41807765,Martinez,412,France,Female,52,8,153493.41,3,1,1,139336.99,1
27,97156238,Miller,623,Spain,Male,56,3,182624.08,2,1,1,93051.27,0
28,26256062,Taylor,491,Spain,Female,30,10,26987.09,3,1,0,97281.28,0
29,89769206,Miller,789,Netherlands,Female,23,10,34543.16,3,1,1,141406.78,1
30,29541636,Williams,566,Spain,Male,49,2,104697.49,2,1,1,31776.25,0
31,29709250,Taylor,823,France,Male,32,8,20204.06,2,0,1,22761.9,0
32,93555456,Taylor,366,Netherlands,Female,35,4,234021.82,4,1,1,116794.77,1
33,45052913,Davis,452,Netherlands,Male,24,3,248063.86,4,1,0,111587.38,0
34,92759353,Moore,818,Italy,Male,52,10,131190.65,1,0,1,56238.26,0
35,29131251,Miller,599,France,Female,47,8,107118.46,3,1,0,55869.39,0
36,84511260,Smith,738,France,Male,60,8,233346.02,2,0,1,142285.51,0
37,57990250,Brown,822,Spain,Male,55,10,179779.63,4,0,1,143373.11,0
38,61691149,Wilson,683,Italy,Male,26,8,208122.2,3,0,1,53911.88,0
39,31875971,Martinez,692,Italy,Female,36,8,211145.78,4,0,1,103352.45,0
40,80655114,Martin,375,Spain,Female,25,9,70475.36,4,1,0,116466.49,0
41,78989493,Garcia,568,France,Male,26,9,195028.16,2,1,1,26974.72,1
42,87598170,Johnson,537,Italy,Female,55,7,7179.75,1,1,1,74167.95,1
43,62424977,Martinez,769,France,Male,43,1,16078.37,3,1,1,130254.38,1
44,28108708,Wilson,844,Netherlands,Male,43,1,137001.35,3,1,1,48177.35,0
45,54210930,Martin,518,Italy,Female,48,6,39461.98,4,0,0,26605.32,0
46,97523095,Johnson,694,Netherlands,Female,29,6,227843.47,1,0,1,95639.81,1
47,95312147,Martinez,692,Germany,Male,65,4,18240.23,1,0,1,50167.37,0
48,64692956,Hernandez,635,Italy,Male,26,8,189637.78,1,1,0,147504.73,0
49,35218496,Martinez,511,Spain,Female,29,2,9912.08,2,1,1,102155.95,0
50,68045827,Miller,528,Spain,Male,53,10,29234.97,2,0,0,44976.12,0
51,96800477,Anderson,553,Germany,Male,59,3,20163.77,2,1,0,130875.83,0
52,10491373,Davis,749,Spain,Male,22,6,85994.97,2,0,1,45047.96,0
53,53517185,Brown,371,France,Female,27,3,100401.76,4,0,0,143373.43,0
54,81326794,Jones,504,Germany,Male,46,4,240123.97,3,1,0,86575.25,1
55,58636081,Anderson,590,Spain,Female,34,4,236114.16,1,0,1,21527.04,0
56,29749845,Smith,383,Spain,Female,45,7,223092.68,1,0,0,127402.69,0
57,81892910,Martin,684,Italy,Male,23,8,239266.5,1,1,0,26926.94,0
58,41614607,Smith,686,Spain,Female,65,6,215942.15,2,0,0,142933.12,0
59,58049656,Williams,697,Spain,Male,24,6,205098.91,1,0,0,81583.04,0
60,50715198,Jones,673,France,Male,64,0,193605.23,4,1,0,122233.94,1
61,61017772,Taylor,764,Netherlands,Female,68,10,188899.58,4,0,0,40101.4,0
62,69728752,Anderson,479,Spain,Male,65,3,93385.27,1,1,1,58322.46,0
63,37303582,Martin,520,Italy,Male,67,1,111379.41,2,1,1,93586.11,0
64,40991626,Martin,785,Italy,Female,55,7,121506.52,4,0,0,93098.47,1
65,89421361,Smith,619,France,Female,24,8,62928.09,2,1,0,33809.64,0
66,85055390,Wilson,605,France,Female,22,4,236045.24,4,0,1,143211.05,1
67,82881570,Taylor,643,Spain,Female,18,8,206096.2,4,0,0,83424.24,1
68,83187604,Wilson,700,France,Male,33,2,235589.13,4,1,1,85064.46,1
69,92115419,Martinez,520,Italy,Male,30,5,15136.04,1,0,1,59414.85,0
70,12026538,Johnson,578,Netherlands,Female,50,8,52814.01,2,0,1,26185.7,0
71,27098888,Anderson,528,Italy,Female,24,0,156835.06,1,1,0,52575.28,0
72,16081274,Davis,451,Spain,Female,26,8,241367.48,3,1,1,116052.79,0
73,49172654,Martinez,516,Netherlands,Male,34,2,210450.15,4,0,0,27994.5,0
74,24368901,Johnson,692,Italy,Male,41,4,114595.62,1,1,1,34784.23,0
75,91568836,Miller,740,Germany,Female,32,8,118425.94,4,0,0,129518.42,0
76,35226923,Taylor,414,Italy,Female,34,3,161690.72,4,1,1,22232.94,0
77,68430779,Anderson,585,France,Male,43,9,21145.22,2,1,1,98142.03,0
78,85224370,Martinez,488,France,Female,47,10,201714.2,4,1,1,138147.18,1
79,37368174,Smith,456,Spain,Female,46,8,193073.01,4,0,1,129405.99,0
80,70085488,Garcia,809,France,Female,36,7,55413.53,1,0,1,116955.28,0
81,42988743,Garcia,669,France,Male,59,10,32270.2,4,0,0,91851.39,0
82,81895388,Smith,576,France,Female,40,8,133799.15,3,0,0,125903.36,0
83,17170457,Martinez,376,Spain,Female,41,3,208204.71,1,1,0,123247.46,0
84,76912048,Brown,749,Netherlands,Male,45,3,60893.69,4,1,1,77243.87,1
85,36111800,Hernandez,521,Spain,Male,36,1,144137.95,2,0,1,103101.93,0
86,64454818,Williams,461,Germany,Male,53,9,185824.09,1,0,1,43943.36,1
87,72039019,Hernandez,762,France,Male,67,9,159732.69,4,1,0,127303.68,0
88,22369166,Wilson,301,Spain,Male,18,3,97714.45,4,1,0,64003.54,0
89,44614288,Moore,647,Germany,Female,53,10,124746.29,1,1,0,67137.76,0
90,13531758,Miller,310,France,Male,22,0,97144.32,2,0,1,28854.12,0
91,29416320,Williams,536,Italy,Female,21,3,130464.46,4,0,1,130212.34,0
92,18424055,Hernandez,328,France,Male,24,7,62594.33,4,0,0,110979.69,1
93,49129533,Smith,769,Germany,Male,33,6,3678.83,1,1,1,146394.31,0
94,49017459,Smith,430,France,Female,40,10,120775.3,1,0,0,25089.83,0
95,72149567,Anderson,326,France,Female,40,3,5875.82,1,0,1,36272.88,1
96,66082626,Williams,696,Italy,Male,43,1,220338.15,2,1,0,112841.03,1
97,56913213,Jones,573,France,Female,22,5,132746.71,1,0,1,20114.09,1
98,75403953,Davis,625,France,Male,40,6,232682.6,4,1,1,122633.6,0
99,66470468,Garcia,416,Germany,Female,22,4,82341.33,1,1,0,100413.94,1
100,97767322,Johnson,807,Italy,Female,30,10,36893.98,3,0,1,59548.98,0
101,73169803,Martin,738,Spain,Male,62,4,43803.04,4,1,1,34609.31,0
102,20487312,Jones,386,Italy,Female,26,9,200592.62,4,1,1,59879.82,0
103,63468407,Johnson,755,Netherlands,Male,47,5,69051.94,1,0,0,67109.72,0
104,28669724,Moore,518,Italy,Male,63,2,14837.44,4,1,1,78560.88,0
105,88992430,Davis,350,Spain,Male,30,9,137212.18,3,1,0,31668.28,0
106,81657385,Martinez,437,Germany,Female,64,1,115299.4,3,0,1,59857.39,0
107,41230987,Taylor,411,Italy,Female,60,2,30520.58,4,0,1,139659.67,1
108,63561036,Taylor,357,Spain,Male,61,10,217703.34,3,1,1,143532.82,0
109,31070378,Taylor,387,Spain,Female,48,0,79825.64,2,0,0,65386.96,0
110,57189776,Jones,317,Netherlands,Male,51,8,197030.53,2,0,1,123376.5,1
111,59401623,Wilson,403,Italy,Female,62,8,51117.08,4,0,1,96560.35,0
112,65050873,Johnson,747,Spain,Female,38,0,220715.85,1,1,1,52233.66,0
113,45207311,Anderson,403,Germany,Female,68,0,70358.83,2,0,1,24054.48,1
114,26957147,Brown,797,Germany,Female,42,7,132538.79,4,0,0,114367.62,1
115,76028922,Martin,462,Spain,Male,20,5,153991.46,4,1,1,48400.69,0
116,32331372,Hernandez,509,Spain,Male,34,3,238271.58,2,1,1,132496.12,0
117,22449422,Hernandez,531,Italy,Female,50,4,230574.83,4,1,1,26636.47,1
118,26291363,Davis,810,Germany,Female,42,2,102769.27,3,0,0,110578.79,0
119,44581225,Brown,567,Italy,Female,57,6,151974.39,4,1,1,146564.1,0
120,95860407,Hernandez,655,Netherlands,Female,63,3,207311.9,3,0,0,49524.09,0
121,48905953,Anderson,752,Italy,Female,26,1,133239.58,4,1,0,45569.41,0
122,45488128,Taylor,504,Spain,Male,19,6,24439.4,1,0,0,51797.54,0
